施設、場所、イベントの名称,施設、場所、イベントの名称（読み）,ジャンル,キャッチコピー,説明文,経度（世界測地系）,緯度（世界測地系）,郵便番号,住所,ビル名,フロア数,電話番号,FAX番号,アクセス,予算,定員、収容人数,定員、収容人数コメント,取扱商品、メニュー、プラン,取扱商品、メニュー、プラン 料金,取扱商品、メニュー、プラン 写真ファイル名,取扱商品、メニュー、プラン 写真キャプション,写真ファイル名,写真キャプション,ホームページURL（PC）,ホームページURL（モバイル）,支払方法,ペット同伴の可・不可,コピーライト・情報提供元,注意事項,その他説明、備考
千葉市 学校下公園,ガッコウシタコウエン,,,,140.143147,35.611655,,千葉市中央区都町２丁目３０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 上中公園,カミナカコウエン,,,,140.116682,35.60496,,千葉市中央区新宿２丁目８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第１公園,カワドダイ１コウエン,,,,140.167794,35.58218,,千葉市中央区川戸町３４６－５７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第２公園,カワドダイ２コウエン,,,,140.168218,35.58074,,千葉市中央区川戸町３６７－２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第３公園,カワドダイ３コウエン,,,,140.168105,35.581432,,千葉市中央区川戸町３４６－２６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第４公園,カワドダイ４コウエン,,,,140.169049,35.582805,,千葉市中央区川戸町３２８－３４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第５公園,カワドダイ５コウエン,,,,140.166531,35.584572,,千葉市中央区川戸町４２９－１１５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 川戸第６公園,カワドダイ６コウエン,,,,140.16586,35.585686,,千葉市中央区川戸町５０３－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 寒風台第１公園,カンプウダイダイ１コウエン,,,,140.143988,35.578513,,千葉市中央区大森町２６０－１７１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 北浜公園,キタハマコウエン,,,,140.130719,35.557657,,千葉市中央区浜野町１２５４－４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 狐塚公園,キツネヅカコウエン,,,,140.139152,35.572506,,千葉市中央区今井町１４９２－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 君待公園,キミマチコウエン,,,,140.118887,35.602424,,千葉市中央区長洲１丁目３４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 熊の台公園,クマノダイコウエン,,,,140.138475,35.58852,,千葉市中央区宮崎町４７－１２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小塚台公園,コヅカダイコウエン,,,,140.138378,35.579446,,千葉市中央区白旗１丁目１０８，１０９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 小浜公園,コハマコウエン,,,,140.134912,35.555325,,千葉市中央区浜野町４１７－１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 寒川３丁目公園,サムガワ３チョウメコウエン,,,,140.122208,35.592828,,千葉市中央区寒川町３丁目１３８－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 塩田町公園,シオダチョウコウエン,,,,140.13138,35.560655,,千葉市中央区塩田町３５９－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 塩田町南公園,シオダチョウミナミコウエン,,,,140.134697,35.559244,,千葉市中央区塩田町２６２－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 汐見丘町公園,シオミガオカチョウコウエン,,,,140.105323,35.617441,,千葉市中央区汐見丘町２５－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 城の下公園,ジョウノシタコウエン,,,,140.129548,35.619118,,千葉市中央区祐光４丁目５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白坂公園,シラサカコウエン,,,,140.141279,35.583703,,千葉市中央区宮崎町４７６－１５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白旗公園,シラハタコウエン,,,,140.140314,35.578733,,千葉市中央区白旗２丁目１３４，１３５，１３６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白旗第２公園,シラハタダイ２コウエン,,,,140.141584,35.579593,,千葉市中央区白旗３丁目１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白旗第３公園,シラハタダイ３コウエン,,,,140.14147,35.577714,,千葉市中央区白旗２丁目１３７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白旗第４公園,シラハタダイ４コウエン,,,,140.139452,35.581602,,千葉市中央区白旗３丁目３８５－２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 白旗南公園,シラハタミナミコウエン,,,,140.137826,35.579749,,千葉市中央区白旗１丁目２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 新宿公園,シンジュクコウエン,,,,140.113683,35.605979,,千葉市中央区新宿１丁目６他,,,043-251-5103,,京成電鉄「千葉中央駅」よりすぐ,,,,,,,,,,,,,,,,
千葉市 新田公園,シンデンコウエン,,,,140.110635,35.608227,,千葉市中央区新田町２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 新浜公園,シンハマコウエン,,,,140.109737,35.606955,,千葉市中央区新田町３７－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 新町公園,シンマチコウエン,,,,140.111987,35.609532,,千葉市中央区新町２３－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 神明公園,シンメイコウエン,,,,140.117028,35.601228,,千葉市中央区神明町２７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 神明宮前公園,シンメイミヤマエコウエン,,,,140.114797,35.602182,,千葉市中央区神明町１７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 末広１丁目公園,スエヒロ１チョウメコウエン,,,,140.12624,35.597733,,千葉市中央区末広１丁目１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 末広４丁目公園,スエヒロ４チョウメコウエン,,,,140.127149,35.591912,,千葉市中央区末広４丁目４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 末広公園,スエヒロコウエン,,,,140.124902,35.595119,,千葉市中央区末広２丁目１５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 砂山公園,スナヤマコウエン,,,,140.112535,35.608497,,千葉市中央区新田町１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 諏訪公園,スワコウエン,,,,140.132728,35.556721,,千葉市中央区浜野町４４８－３２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 蘇我公園,ソガコウエン,,,,140.131855,35.574726,,千葉市中央区蘇我町１丁目,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 蘇我町１丁目公園,ソガチョウ１チョウメコウエン,,,,140.137076,35.573821,,千葉市中央区蘇我町１丁目５３６－２８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 大巌寺町公園,ダイガンジチョウコウエン,,,,140.142519,35.575862,,千葉市中央区大巌寺町２００４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 大巌寺町中比与公園,ダイガンジチョウナカヒヨコウエン,,,,140.14439,35.572006,,千葉市中央区大巌寺町９２－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 高作公園,タカサクコウエン,,,,140.126566,35.617309,,千葉市中央区祐光１丁目４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 高砂公園,タカサゴコウエン,,,,140.105073,35.616163,,千葉市中央区汐見ヶ丘町７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 高品西第２公園,タカシナニシダイ２コウエン,,,,140.129654,35.622265,,千葉市中央区東千葉２丁目８４４－８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 高品西第３公園,タカシナニシダイ３コウエン,,,,140.127303,35.620776,,千葉市中央区東千葉２丁目８４４－７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺いわつばめ公園,チバデライワツバメコウエン,,,,140.135378,35.590534,,千葉市中央区千葉寺町１２３０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺おしどり公園,チバデラオシドリコウエン,,,,140.140544,35.60086,,千葉市中央区青葉町１２７７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺かわせみ公園,チバデラカワセミコウエン,,,,140.138716,35.591233,,千葉市中央区千葉寺町１２４５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺きじばと公園,チバデラキジバトコウエン,,,,140.131334,35.591291,,千葉市中央区千葉寺町１１９２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺町公園,チバデラチョウコウエン,,,,140.130743,35.592806,,千葉市中央区千葉寺町４０７－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺ひばり公園,チバデラヒバリコウエン,,,,140.135157,35.592646,,千葉市中央区千葉寺町１２１５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺ひよどり公園,チバデラヒヨドリコウエン,,,,140.138548,35.593608,,千葉市中央区青葉町１２４３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺ふくろう公園,チバデラフクロウコウエン,,,,140.141502,35.589959,,千葉市中央区千葉寺町１２５４－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 千葉寺ほおじろ公園,チバデラホオジロコウエン,,,,140.135849,35.597967,,千葉市中央区青葉町１２６８－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 塚脇公園,ツカワキコウエン,,,,140.133024,35.601967,,千葉市中央区亥鼻３丁目２８３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 椿森３丁目公園,ツバキモリ３チョウメコウエン,,,,140.118829,35.622867,,千葉市中央区椿森３丁目５２６－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 鶴沢公園,ツルサワコウエン,,,,140.135438,35.610253,,千葉市中央区鶴沢町２３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 出洲港公園,デズミナトコウエン,,,,140.115071,35.598801,,千葉市中央区出洲港３５３－５３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 出洲港第２公園,デズミナトダイ２コウエン,,,,140.116892,35.598073,,千葉市中央区出洲港３５３－５７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 出洲港第３公園,デズミナトダイ３コウエン,,,,140.116856,35.597523,,千葉市中央区出洲港３６０－１３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 天神台公園,テンジンダイコウエン,,,,140.149689,35.616311,,千葉市中央区都町１２６６－５３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 道場北２丁目公園,ドウジョウキタ２チョウメコウエン,,,,140.130977,35.615517,,千葉市中央区道場北２丁目３４４－８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 道南公園,ドウナンコウエン,,,,140.132852,35.612469,,千葉市中央区道場南２丁目２１７－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 通町公園,トオリチョウコウエン,,,,140.122832,35.611172,,千葉市中央区中央１丁目４－１,,,043-251-5103,,ＪＲ「千葉駅」より徒歩７分,,,,,,,,,,,,,,,,
千葉市 長洲２丁目公園,ナガス２チョウメコウエン,,,,140.122255,35.599818,,千葉市中央区長洲２丁目２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中田池公園,ナカダイケコウエン,,,,140.156677,35.591531,,千葉市中央区仁戸名町３４８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 中溝公園,ナカミゾコウエン,,,,140.130281,35.616527,,千葉市中央区道場北２丁目５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南部蘇我１号公園,ナンブソガ１ゴウコウエン,,,,140.136204,35.567261,,千葉市中央区南部蘇我土地区画整理事業区域内,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南部蘇我３号公園,ナンブソガ３ゴウコウエン,,,,140.132892,35.5669,,千葉市中央区南部蘇我土地区画整理事業区域内,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 新砂公園,ニイズナコウエン,,,,140.111214,35.607257,,千葉市中央区新田町２９－１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 西の下公園,ニシノシタコウエン,,,,140.138572,35.613364,,千葉市中央区都町１丁目１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 西登戸公園,ニシノブトコウエン,,,,140.100894,35.619796,,千葉市中央区登戸５丁目１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 仁戸名すぎな公園,ニトナスギナコウエン,,,,140.162036,35.593817,,千葉市中央区仁戸名町１３４－１８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 仁戸名第２公園,ニトナダイ２コウエン,,,,140.165995,35.577149,,千葉市中央区仁戸名町７２０－９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 仁戸名第３公園,ニトナダイ３コウエン,,,,140.163429,35.586378,,千葉市中央区仁戸名町４０８－２００,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 仁戸名第４公園,ニトナダイ４コウエン,,,,140.16027,35.590798,,千葉市中央区仁戸名町４１７－２６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 不寝見川公園,ネズミガワコウエン,,,,140.124684,35.592591,,千葉市中央区寒川町３丁目２２６－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 ねだ公園,ネダコウエン,,,,140.142483,35.60274,,千葉市中央区矢作町５４０－７３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 のぎわ公園,ノギワコウエン,,,,140.135891,35.547455,,千葉市中央区村田町１４１－１１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 登戸１丁目公園,ノブト１チョウメコウエン,,,,140.109042,35.60938,,千葉市中央区登戸１丁目１２－７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 登戸３丁目公園,ノブト３チョウメコウエン,,,,140.104835,35.613239,,千葉市中央区登戸３丁目１７４－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 登戸５丁目緑地公園,ノブト５チョウメリョクチコウエン,,,,140.097442,35.620156,,千葉市中央区登戸５丁目１９－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 登戸公園,ノブトコウエン,,,,140.106105,35.614343,,千葉市中央区新千葉３丁目９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 橋戸公園,ハシドコウエン,,,,140.145231,35.567867,,千葉市中央区生実町１１４５－７８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 八幡公園,ハチマンコウエン,,,,140.130261,35.5683,,千葉市中央区蘇我町２丁目１０３８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 鳩尾公園,ハトオコウエン,,,,140.107418,35.616945,,千葉市中央区汐見ヶ丘町２５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 花輪公園,ハナワコウエン,,,,140.157536,35.575432,,千葉市中央区花輪町１９－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 花輪第２公園,ハナワダイ２コウエン,,,,140.160365,35.577059,,千葉市中央区花輪町３８－１２８，７４－１０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 花輪東公園,ハナワヒガシコウエン,,,,140.155664,35.575367,,千葉市中央区花輪町１６７－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 浜作公園,ハマサクコウエン,,,,140.151239,35.592645,,千葉市中央区星久喜町１１８９－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 浜野駅東口公園,ハマノエキヒガシグチコウエン,,,,140.135064,35.552129,,千葉市中央区浜野町１３５４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 浜野公園,ハマノコウエン,,,,140.126758,35.558006,,千葉市中央区浜野町１２１６－５２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 浜野第２公園,ハマノダイ２コウエン,,,,140.132578,35.554056,,千葉市中央区浜野町７１５－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 浜野東公園,ハマノヒガシコウエン,,,,140.137397,35.553072,,千葉市中央区浜野町５３３－１６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 東千葉わくわく公園,ヒガシチバワクワクコウエン,,,,140.127068,35.623835,,千葉市中央区東千葉２丁目５－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 平柳公園,ヒラヤナギコウエン,,,,140.12974,35.591572,,千葉市中央区末広３丁目２９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 弁天公園,ベンテンコウエン,,,,140.115734,35.616153,,千葉市中央区弁天２丁目８１－８,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宝導寺台公園,ホウドウジダイコウエン,,,,140.137313,35.614396,,千葉市中央区都町１丁目５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 北斗公園,ホクトコウエン,,,,140.15043,35.594206,,千葉市中央区星久喜町７５１－２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 星久喜北公園,ホシグキキタコウエン,,,,140.145598,35.603128,,千葉市中央区星久喜町９６０－２１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 星久喜第２公園,ホシグキダイ２コウエン,,,,140.15028,35.593047,,千葉市中央区星久喜町１１７３－２０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 堀合公園,ホリアイコウエン,,,,140.126467,35.592766,,千葉市中央区末広３丁目１５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 本円寺公園,ホンエンジコウエン,,,,140.126084,35.610148,,千葉市中央区本町１丁目６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 本城公園,ホンジョウコウエン,,,,140.145761,35.566657,,千葉市中央区生実町１１４５－１３７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 本千葉公園,ホンチバコウエン,,,,140.119595,35.604527,,千葉市中央区本千葉町１２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 本町公園,ホンチョウコウエン,,,,140.126621,35.606849,,千葉市中央区本町３丁目５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 前藤公園,マエフジコウエン,,,,140.148939,35.586473,,千葉市中央区松ヶ丘町１４４－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 松ヶ丘公園,マツガオカコウエン,,,,140.149811,35.587802,,千葉市中央区松ヶ丘町１４４－１,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 松波公園,マツナミコウエン,,,,140.109657,35.621896,,千葉市中央区松波２丁目２２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 港第３公園,ミナトダイ３コウエン,,,,140.105249,35.609856,,千葉市中央区千葉港１２４－４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 港第４公園,ミナトダイ４コウエン,,,,140.103765,35.609874,,千葉市中央区千葉港１２４－５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南生実公園,ミナミオユミコウエン,,,,140.140221,35.557512,,千葉市中央区南生実町９４－１２４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南生実第２公園,ミナミオユミダイ２コウエン,,,,140.156034,35.558228,,千葉市中央区南生実町１３６８－７他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南生実第３公園,ミナミオユミダイ３コウエン,,,,140.153739,35.558149,,千葉市中央区南生実１３０５－１０他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南田公園,ミナミダコウエン,,,,140.134748,35.575182,,千葉市中央区若草１丁目５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南町３丁目公園,ミナミチョウ３チョウメコウエン,,,,140.136077,35.57982,,千葉市中央区南町３丁目１２９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南町公園,ミナミチョウコウエン,,,,140.136612,35.576701,,千葉市中央区南町３丁目１３０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 南浜公園,ミナミハマコウエン,,,,140.142724,35.557114,,千葉市中央区南生実町９４－２６９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都川公園,ミヤコガワコウエン,,,,140.121433,35.603803,,千葉市中央区長洲１丁目２４３－１,,,043-251-5103,,"ＪＲ「千葉駅」より徒歩１５分<BR>
千葉都市モノレール「県庁前駅」よりすぐ",,,,,,,,,,,,,,,,
千葉市 都北第１公園,ミヤコキタダイ１コウエン,,,,140.149755,35.6156,,千葉市中央区都町１２６４－６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都北第２公園,ミヤコキタダイ２コウエン,,,,140.148601,35.616297,,千葉市中央区都町１００８－１４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都北第３公園,ミヤコキタダイ３コウエン,,,,140.145891,35.616107,,千葉市中央区都町１０２２－１９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都北第４公園,ミヤコキタダイ４コウエン,,,,140.149321,35.616266,,千葉市中央区都町１２６６－３０,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都北第５公園,ミヤコキタダイ５コウエン,,,,140.149209,35.615321,,千葉市中央区都町１２５４－７４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 都北第６公園,ミヤコキタダイ６コウエン,,,,140.149546,35.614465,,千葉市中央区都町１２５４－７５,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎北公園,ミヤザキキタコウエン,,,,140.144622,35.587328,,千葉市中央区宮崎町７２６－５７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎北第２公園,ミヤザキキタダイ２コウエン,,,,140.139769,35.589028,,千葉市中央区千葉寺町７２０－５５他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎公園,ミヤザキコウエン,,,,140.136075,35.584881,,千葉市中央区宮崎１丁目１２８他,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎第３公園,ミヤザキダイ３コウエン,,,,140.133952,35.588841,,千葉市中央区宮崎１丁目１２６,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎第４公園,ミヤザキダイ４コウエン,,,,140.136185,35.587495,,千葉市中央区宮崎１丁目１２７,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎第５公園,ミヤザキダイ５コウエン,,,,140.143743,35.582884,,千葉市中央区宮崎町５１９－４２,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎第６公園,ミヤザキダイ６コウエン,,,,140.142519,35.581728,,千葉市中央区宮崎町５１１－４４,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 宮崎第７公園,ミヤザキダイ７コウエン,,,,140.135744,35.58811,,千葉市中央区宮崎町４７－１１９,,,043-251-5103,,,,,,,,,,,,,,,,,,
千葉市 向台公園,ムコウダイコウエン,,,,140.147108,35.581565,,千葉市中央区大森町２８６－３,,,043-251-5103,,,,,,,,,,,,,,,,,,
